time,key,event
2025-05-27 19:24:33.281061,Key.space,press
2025-05-27 19:24:33.375408,Key.shift,press
2025-05-27 19:24:33.379063,Key.space,release
2025-05-27 19:24:33.475438,C,press
2025-05-27 19:24:33.523186,Key.shift,release
2025-05-27 19:24:33.623447,c,release
2025-05-27 19:24:33.631014,a,press
2025-05-27 19:24:33.699207,n,press
2025-05-27 19:24:33.791243,a,release
2025-05-27 19:24:33.807254,Key.space,press
2025-05-27 19:24:33.819158,n,release
2025-05-27 19:24:33.895519,Key.space,release
2025-05-27 19:24:33.934050,t,press
2025-05-27 19:24:34.030077,h,press
2025-05-27 19:24:34.047079,t,release
2025-05-27 19:24:34.106355,h,release
2025-05-27 19:24:34.193482,i,press
2025-05-27 19:24:34.300300,s,press
2025-05-27 19:24:34.340108,i,release
2025-05-27 19:24:34.392319,s,release
2025-05-27 19:24:34.392884,Key.space,press
2025-05-27 19:24:34.472401,Key.space,release
2025-05-27 19:24:34.579169,p,press
2025-05-27 19:24:34.661115,r,press
2025-05-27 19:24:34.686817,p,release
2025-05-27 19:24:34.758640,o,press
2025-05-27 19:24:34.761214,r,release
2025-05-27 19:24:34.865394,c,press
2025-05-27 19:24:34.885377,o,release
2025-05-27 19:24:34.977258,e,press
2025-05-27 19:24:35.004976,c,release
2025-05-27 19:24:35.057287,e,release
2025-05-27 19:24:35.179964,s,press
2025-05-27 19:24:35.232889,s,release
2025-05-27 19:24:35.324222,s,press
2025-05-27 19:24:35.408016,Key.space,press
2025-05-27 19:24:35.447982,s,release
2025-05-27 19:24:35.468745,Key.space,release
2025-05-27 19:24:35.572984,b,press
2025-05-27 19:24:35.673050,e,press
2025-05-27 19:24:35.693047,b,release
2025-05-27 19:24:35.772988,Key.space,press
2025-05-27 19:24:35.781061,e,release
2025-05-27 19:24:35.877390,Key.space,release
2025-05-27 19:24:36.047076,t,press
2025-05-27 19:24:36.179460,t,release
2025-05-27 19:24:36.216034,r,press
2025-05-27 19:24:36.348362,r,release
2025-05-27 19:24:36.376976,u,press
2025-05-27 19:24:36.469012,u,release
2025-05-27 19:24:36.472945,s,press
2025-05-27 19:24:36.565230,s,release
2025-05-27 19:24:36.652160,t,press
2025-05-27 19:24:36.768322,e,press
2025-05-27 19:24:36.819961,t,release
2025-05-27 19:24:36.880335,e,release
2025-05-27 19:24:36.966120,d,press
2025-05-27 19:24:37.066440,d,release
2025-05-27 19:24:37.156130,Key.shift,press
2025-05-27 19:24:37.440275,?,press
2025-05-27 19:24:37.544178,?,release
2025-05-27 19:24:37.680250,Key.shift,release
2025-05-27 19:24:37.725962,Key.space,press
2025-05-27 19:24:37.854323,Key.space,release
2025-05-27 19:24:37.880992,Key.shift,press
2025-05-27 19:24:38.005039,H,press
2025-05-27 19:24:38.109009,Key.shift,release
2025-05-27 19:24:38.125412,h,release
2025-05-27 19:24:38.275058,a,press
2025-05-27 19:24:38.366970,h,press
2025-05-27 19:24:38.407025,a,release
2025-05-27 19:24:38.471325,h,release
2025-05-27 19:24:38.491451,a,press
2025-05-27 19:24:38.647314,a,release
